[700.0, 900.0, 0.004761, [1.20382276, 0.027881455599999997], [4057.2, 86.94], [209.489474, 7.5865132], [0.06283903067361876, 0.0067622453288830025]]
[700.0, 300.0, 0.004747, [0.11938251200000001, 0.35324136], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.013972661850914449, 0.033990662190666425]]
[700.0, 500.0, 0.004787, [1.17156664, 0.00818133276], [4057.2, 8.096], [209.489474, 0.98766186], [0.06191921239809176, 0.003658803102655293]]
[700.0, 1700.0, 0.004287, [0.275485168, 0.0302730968], [786.6, 86.94], [50.808656000000006, 7.5865132], [0.028878695953938084, 0.009573195704674587]]
[800.0, 300.0, 0.003216, [0.796672344, 0.0208605032], [4057.2, 86.94], [209.489474, 7.5865132], [0.03978391902666202, 0.004552133597336528]]
[800.0, 100.0, 0.002817, [0.0710176428, 0.049317805199999995], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.008369508552358377, 0.006974590932233946]]
[800.0, 1800.0, 0.003077, [0.0811023516, 0.17695061039999999], [259.90000000000003, 1996.4], [15.5177596, 126.311676], [0.012226640781506587, 0.02554061840441613]]
[800.0, 800.0, 0.003519, [0.24114671999999998, 0.0177895156], [786.6, 86.94], [50.808656000000006, 7.5865132], [0.015437838496369883, 0.00419302856083762]]
[800.0, 400.0, 0.003867, [0.102008772, 0.0198075264], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.01005122210280919, 0.0044290972859037546]]
[800.0, 200.0, 0.003097, [0.732202056, 0.023683081600000003], [4057.2, 86.94], [209.489474, 7.5865132], [0.03801403484819785, 0.004834289676053764]]
[800.0, 1700.0, 0.003415, [0.08654825479999999, 0.005524357119999999], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [0.012624361217899303, 0.0031894888744123254]]
[800.0, 600.0, 0.003949, [0.103970028, 0.05446048559999999], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.01134405887149745, 0.008210227627538714]]
[800.0, 1600.0, 0.003333, [0.08570837760000001, 0.020059404], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.012501852208372966, 0.0060481397563217736]]
[800.0, 1000.0, 0.003793, [0.203574104, 0.00183400114], [786.6, 0.31418], [50.808656000000006, 0.093860286], [0.019322400612760308, 0.0012968347216202995]]
[800.0, 1100.0, 0.003873, [0.21035165199999997, 0.00184518972], [786.6, 0.31418], [50.808656000000006, 0.093860286], [0.019701236671843723, 0.0013047463548138388]]
[800.0, 1500.0, 0.003087, [0.210653872, 0.00184784116], [786.6, 1.8078], [50.808656000000006, 0.304713108], [0.01972954317970895, 0.0013066211538162085]]
[800.0, 1400.0, 0.003604, [0.09576997599999998, 0.0460432584], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.013280906631702522, 0.00920865313061579]]
[800.0, 1200.0, 0.003138, [0.214346568, 0.18108586319999997], [786.6, 1996.4], [50.808656000000006, 126.311676], [0.019901575583857675, 0.025869411929922176]]
[800.0, 900.0, 0.003962, [0.049438178, 0.00395505424], [103.5, 1.8078], [6.6977012, 0.304713108], [0.006991613831441207, 0.0013983228268178989]]
[800.0, 1300.0, 0.003032, [0.07564554639999999, 0.0553503924], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.011813849641839867, 0.010105554053093773]]
