(1800.0, 100.0, 0.324641)
(1800.0, 300.0, 0.385752)
(1900.0, 300.0, 0.363745)
(1900.0, 1600.0, 0.890747)
(1900.0, 600.0, 0.513728)
(1900.0, 1500.0, 0.871851)
(1900.0, 500.0, 0.427025)
(1900.0, 1700.0, 0.884098)
(1900.0, 1800.0, 0.889355)
(1900.0, 800.0, 0.725822)
(1900.0, 1300.0, 0.878428)
(1900.0, 1000.0, 0.88321)
(1900.0, 1900.0, 0.883434)
(1900.0, 1200.0, 0.890746)
(1900.0, 100.0, 0.319542)
(1900.0, 2000.0, 0.869227)
(1900.0, 1100.0, 0.879155)
(1900.0, 900.0, 0.855572)
(1900.0, 200.0, 0.312313)
(1900.0, 400.0, 0.3759)
(1900.0, 700.0, 0.580417)
(1900.0, 1400.0, 0.876021)
(2000.0, 1500.0, 0.878095)
(2000.0, 1200.0, 0.87473)
(2000.0, 1300.0, 0.869217)
(2000.0, 300.0, 0.315344)
(2000.0, 900.0, 0.813975)
(2000.0, 1900.0, 0.876558)
(2000.0, 1600.0, 0.866411)
(2000.0, 500.0, 0.403348)
(2000.0, 600.0, 0.468456)
(2000.0, 200.0, 0.318235)
(2000.0, 1800.0, 0.878428)
(2000.0, 2000.0, 0.859172)
(2000.0, 400.0, 0.362076)
(2000.0, 1100.0, 0.870447)
(2000.0, 100.0, 0.316412)
(2000.0, 1400.0, 0.885385)
(2000.0, 1700.0, 0.862975)
(2000.0, 700.0, 0.564342)
(2000.0, 1000.0, 0.87285)
(2000.0, 800.0, 0.686031)
(2100.0, 200.0, 0.266382)
(2100.0, 100.0, 0.262344)
(2100.0, 400.0, 0.312883)
(2100.0, 1400.0, 0.810067)
(2100.0, 500.0, 0.360368)
(2100.0, 800.0, 0.566014)
(2100.0, 300.0, 0.295141)
(2100.0, 600.0, 0.411908)
(2100.0, 700.0, 0.496867)
(2100.0, 1000.0, 0.781359)
(2100.0, 1700.0, 0.825878)
(2100.0, 1800.0, 0.816054)
(2100.0, 1900.0, 0.849985)
(2100.0, 900.0, 0.692563)
